Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
2629,Country,Switzerland,6,1866-01-14,Settlers' right to vote on cantonal matters,Stimmrecht der Niedergelassenen in kantonalen Angelegenheiten,Droit de vote des Suisses établis  en matière cantonale,Diritto di voto negli affari cantonali,,,,,,,None,0,0,0,0,0,153469,165679,11,11,none,,,0,,0,Constitutional Referendum (Partialrevision),,,,Jeder Kanton bestimmt seine Standesstimme auf seine eigene Art. Every canton determined how they would organise their vote in their own way.,"Voting rights | Fundamental rights | Intergovernmental relations",0,319148,48.09,51.91,no,
2630,Country,Switzerland,8,1866-01-14,Exclusion of certain punishable offences,Ausschluss einzelner Strafarten,Interdiction de certains genres de peines,Esclusione di certe pene,,,,,,,None,0,0,0,0,0,108364,208619,6.5,15.5,none,,,0,,0,Constitutional Referendum (Partialrevision),,,,Jeder Kanton bestimmt seine Standesstimme auf seine eigene Art. Every canton determined how they would organise their vote in their own way.,"Criminal law | Intergovernmental relations | Fundamental rights",0,316983,34.19,65.81,no,
2631,Country,Switzerland,9,1866-01-14,Protection of intellectual property rights,Schutz des geistigen Eigentums,Protection de la propriété littéraire  artistique et industrielle,Garanzia della proprietà delle opere artistiche e letterarie,,,,,,,None,0,0,0,0,0,137476,177386,10.5,11.5,none,,,0,,0,Constitutional Referendum (Partialrevision),,,,Jeder Kanton bestimmt seine Standesstimme auf seine eigene Art. Every canton determined how they would organise their vote in their own way.,"Competition policy | Cultural policy | Intergovernmental relations",0,314862,43.66,56.34,no,
2632,Country,Switzerland,10,1866-01-14,Ban on lottery and games of chance,Verbot der Lotterie und Hasardspiele,Interdiction des loteries et jeux de hasard,Divieto delle lotterie,,,,,,,None,0,0,0,0,0,139062,176788,9.5,12.5,none,,,0,,0,Constitutional Referendum (Partialrevision),,,,Jeder Kanton bestimmt seine Standesstimme auf seine eigene Art. Every canton determined how they would organise their vote in their own way.,"Structural policy | Lottery and gambling | none",0,315850,44.03,55.97,no,
2633,Country,Peru,pe011865,1865-11-28,Colonel Prado as interim President,Oberst Prado als vorläufiger Präsident,,,,,,,,,,Not known,Not known,Not known,,,Not known,Not known,,,none,,,,,0,Plebiscite  ad hoc,,,,By a military coup Colonel Prado seized power and had himself confirmed as interim president by a plebiscite held on 28 November 1865 (Jefe Supremo Provisorio de la Repùblica). He scheduled elections of a constitutional convention for 28 July 1866. Prado transferred his power to the convention and had himself appointed interim president. The constitution entered into force on 19 August 1867  but due to turmoil Prato left the country on 8 January 1868 and Congress quashed the constitution the following day.,"State organisation | Institutions | Government, administration",0,Not known,0,0,yes,
2634,Country,Romania (1859-1878),ro011864,1864-05-26,Constitution  Electoral Law,,,,,,,,,,,754148,Not known,683937,,Not known,682621,1307,,,none,,,,,,Presidential Plebiscite  ad hoc,,,,After the Crimean War  the European forces decided to allow Romania a measure of self government  with formal sovereignty remaining with the Ottoman Government.  In 1858 Alexander Cuza became Duke of both Divans (governmental units)  Wallachia and Moldavia. The Ottoman Government recognized the association of the two Divans in 1861. Cuza and Parliament were in constant dispute  mainly about Cuza's own competency and the electoral law  which was burdened with a high census. He dissolved the Divan and scheduled a popular vote for 14 May on his proposals after the Divan refused to cooperate.      Main issues of the "Statute for the extention of the Paris Convention":                Duke to govern together with the National Council         Only Duke has the right to propose a legislative initiative         Laws need to be approved by the Duke         Senate as second Chamber; all 64 members elected by the Duke         The Duke has the right to dissolve or adjourn the Chambers any time         General right to vote for men without any census         Abolition of compulsory labour (claca)         Constitution can be amended without the consent of the Ottoman Government       On 28 June the Ottoman Government approved of the new Constitution with two exceptions:               32 members of the Senate elected from ex-officio members  and 32 to be appointed by the Duke according to district lists         Census lowered on 100 ducats ownership      ,"State organisation | Political system | Constitution",90.69,683928,99.81,0.19,yes,
2635,Country,Mexico,mx011863,1863-12-04,Archduke Maximilian of Habsburg-Lothringen for Emperor,,,,,,,,,,,8620982,,,,,6445564,0,,,none,,,,,,Plebiscite  ad hoc,,,,In 1861 President Juárez announced a debt moratorium because Mexico was bankrupt. The creditors under Napoleon III aggred upon military action and offered the Crown to Archduke Maximilian who accepted on condition of approval by a plebiscite. On 7 June 1863 troops gathered in Mexico City and convened a regency council and assembly of notables who offered the Crown to Maximilian on 10 July:      La Nacion mexicana adopta por forma de gobierno la monarquia moderada hereditaria  conun principe católico.     El Soberano tomará el título de Emperador de México.     La corona imperial de México se ofrece á S. A. I. y R. el príncipe Fernando Maximiliano  Archduque de Austria  para sí y sus descendientes.     En el caso de que por circunstancios imposibles a prever  el Archiduque Fernando Maximiliano no llegase á tomar posicion del trono que se le ofrece  la Nacion mexicana se remite á la benevolencia de S. M. Napoleon III  Emperador de los franceses  para que le indique otro príncipe católico.  Maximilian agreed  the plebiscite was held and he accepted the Crown on 11 April 1864. He arrived in Mexico City on 12 June. In the meantime the Republican troops came together and started a counterattack. In August 1866 France withdrew its troops due to a dispute about debt repayment. Maximilian abdicated on 15 May 1867 but soon after he was captured and executed after a trial. As the French troops only controlled the territory along the road Veracruz - Mexico City - Toluca  the data was unreliable. Reportedly the people registered in indexes which were delivered to Maximilian in Trieste. The total weight of the lists amounted to 700 pounds. According to official data 74.76% of the population registered.,"State organisation | Institutions | Government, administration",0,6445564,100,0,yes,
2636,Country,Greece,gr011862-0,1862-12-01,,Staatsoberhaupt: Prinz Alfred,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,230016,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2637,Country,Greece,gr011862-1,1862-12-01,,Staatsoberhaupt: Prinz Leuchtenberg,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,2400,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2638,Country,Greece,gr011862-2,1862-12-01,,Staatsoberhaupt: Orthodoxer König,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1917,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2639,Country,Greece,gr011862-3,1862-12-01,,Staatsoberhaupt: Zar von Russland,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1841,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2640,Country,Greece,gr011862-4,1862-12-01,,Staatsoberhaupt: Grossfürst Nikolaus,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1821,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2641,Country,Greece,gr011862-5,1862-12-01,,Staatsoberhaupt: Ein König,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1763,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2642,Country,Greece,gr011862-6,1862-12-01,,Staatsoberhaupt: Prinz Nikolaus von Russland,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1741,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2643,Country,Greece,gr011862-7,1862-12-01,,Staatsoberhaupt: Lang leben die drei Mächte,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,482,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2644,Country,Greece,gr011862-8,1862-12-01,,Staatsoberhaupt: Grossfürst Konstantin,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,478,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2645,Country,Greece,gr011862-9,1862-12-01,,Staatsoberhaupt: Prinz Napoleon,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,345,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2646,Country,Greece,gr011862-10,1862-12-01,,Staatsoberhaupt: Kaiserlicher Prinz aus Frankreich,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,246,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2647,Country,Greece,gr011862-11,1862-12-01,,Staatsoberhaupt: Republik,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,93,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2648,Country,Greece,gr011862-12,1862-12-01,,Staatsoberhaupt: Russicher Prinz,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,14,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2649,Country,Greece,gr011862-13,1862-12-01,,Staatsoberhaupt: Prinz Amadeo von Italien,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,13,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2650,Country,Greece,gr011862-14,1862-12-01,,Staatsoberhaupt: Russischer Prinz,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,9,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2651,Country,Greece,gr011862-15,1862-12-01,,Staatsoberhaupt: Romanoff,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,8,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2652,Country,Greece,gr011862-16,1862-12-01,,Staatsoberhaupt: Graf von Flandern,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,7,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2653,Country,Greece,gr011862-17,1862-12-01,,Staatsoberhaupt: Wilhelm von Dänemark,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,6,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2654,Country,Greece,gr011862-18,1862-12-01,,Staatsoberhaupt: Fürst Ypsilanti,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,6,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2655,Country,Greece,gr011862-19,1862-12-01,,Staatsoberhaupt: General Garibaldi,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,3,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2656,Country,Greece,gr011862-20,1862-12-01,,Staatsoberhaupt: Herzog von Aumale,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,3,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2657,Country,Greece,gr011862-21,1862-12-01,,Staatsoberhaupt: Kaiser Napoleon,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,2,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2658,Country,Greece,gr011862-22,1862-12-01,,Staatsoberhaupt: Schwedischer Prinz,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,2,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2659,Country,Greece,gr011862-23,1862-12-01,,Staatsoberhaupt: Prinz Joinville,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2660,Country,Greece,gr011862-24,1862-12-01,,Staatsoberhaupt: General MacMahon,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2661,Country,Greece,gr011862-25,1862-12-01,,Staatsoberhaupt: Eynard der Philhellene,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2662,Country,Greece,gr011862-26,1862-12-01,,Staatsoberhaupt: Otto I,,,,,,,,,,Not known,,Not known,,,,,,,linked,,,1,,0,,,,,,"",0,241202,0,0,,Staatsoberhaupt: Prinz Alfred
2663,Country,Liberia,lr011861,1861-05-07,More representatives for Maryland,,,,,,,,,,,Not known,Not known,Not known,,Not known,Not known,Not known,,,none,,,,,,Mandatory Constitutional Referendum,,,,Mandatory constitutional referendum according to Chapter V article 17  of the Constitution. Adoption required a 2/3 majority of votes cast. In order to do justice to the population size of Maryland  which became part of Liberia in 1857  it ought to have been represented by three instead of only one deputy. The voters wrote 'adoption' or 'no adoption' on their ballot paper.      Chapter II article 2 sentence 1:   'The representatives shall be elected by and for the inhabitants of the several countries of Liberia  and shall be apportioned among the several counties of Liberia as follows: The County of Montserrado shall have four representatives  the County of Grand Bassa shall have three  and the County of Sinoe shall have three and the County of Maryland shall have three representatives; and all the counties that shall hereafter be admitted in the Republic shall have one representative; and for every ten thousand inhabitants one representative shall be added.'  The vote was held together with the general elections. The regulation was put into effect  by Parliament in December 1861.,"State organisation | Institutions | Parliament",0,,0,0,yes,
2664,Country,Mexico,mx011854,1854-12-01,Continuance in office of the president,,,,,,,,,,,Not known,Not known,Not known,Not known,,435530,4075,,,none,,,,,,Plebiscite  ad hoc,,,,In 1853 General Santa Anna was appointed President with special authorities and powers for a term of one year. Immediately after assuming office  Santa Anna repealed the 1824 Constitution and governed as dictator. On 16 December 1853 he appointed himself dictator for life. The first  rebellion occurred in March in Ayutla with the objective of reinstating the Constitution of 1824. As the rebellion spread  Santa Anna scheduled a plebiscite on his continuance in office and in the case that Santa Anna would not carry on his term  the nomination of a successor. Only on this day was the media free to report on the two questions. The voting was not secret; voters had to sign their names on the ballot paper and Santa Anna ordered reprisals against the opponents. On 11 December Santa Anna declared that the people had confirmed the continuance of his term of office with all its powers  but on 12 August 1855 he was overthrown and went into exile.      Ballot question:        Si el actual Presidente de la República ha de continuar en el mando supremo de ella con las mismas amplias facultades que hoy ejerce.     En caso de que no continúe con las mismas amplias facultades con que en la actualidad se halla investido  a quién entregarà inmediatamente el mando.   The second question implied the election of a successor if Santa Anna was dismissed.,"State organisation | Institutions | Government, administration",0,439605,99.07,0.93,yes,
2665,Country,Maryland in Liberia (1854-1857),lr011854,1854-03-29,Constitution,,,,,,,,,,,Not known,Not known,Not known,,Not known,Not known,Not known,,,none,,,,,,Plebiscite  ad hoc,,,,After settlers declared independence in 1853  elections of a constituent assembly were held in February 1854. The assembly developed a constitution along the lines of the Liberian one:      Presidential Republic     Bicameral parliament: House of Representatives with five seats  Senate with four     President and House of Representatives with two year term  Senate with four year term     Suffrage for male coloureds     Land ownership only for citizens  After its adoption  the constituent assembly set down elections for all offices for 15 May 1854. Maryland declared its independence from Liberia on 8 June 1854.,"State organisation | Political system | Constitution",0,,0,0,yes,
2666,Country,Maryland in Liberia (1854-1857),lr011853,1853-01-31,Independence,,,,,,,,,,,Not known,Not known,Not known,,Not known,122,0,,,none,,,,,,Plebiscite  ad hoc,,,,In around 1830 a great number of freed former slaves lived in Maryland  a slaveholding state of the USA. Authorities considered this a threat and founded the 'Maryland State Colonisation Society' (MSCS) in 1830  that - modelled on Liberia - brought  former slaves back to Africa. When Liberia declared independence in 1847 the desire for independence was also expressed in Maryland. Authorities held a referendum on the petition of settlers. Later elections for a constituent assembly took place.,"State organisation | National identity | none",0,122,100,0,yes,
2667,Country,France (1848-1852),fr011852,1852-11-22,Napoleon Bonaparte as Emperor,Napoleon Bonaparte als Kaiser,,,,,,,,,,10203458,,8140660,,,7824189,253145,,,none,,,,,,Presidential plebiscite  binding,,,,Events On 7 November 1852 the Senate decided by 86:1 to appoint Louis-Napoléon as Emperor. On 2 December 1852 - one year after his revolt - he announced the result; from then on he was "Napoléon III  Empereur des Français". The Senate formally decided on 25 December 1852 to conduct the constitutional amendments by constitutional law  which amended the constitution of 14 January 1852. Presidential plebiscite as to art. 5 of the constitution. The Yes-votes were already printed; who rejected the proposal had to write a "Non" on an empty ballot paper. Ballot question:  "Le peuple français veut le rétablissement de la dignité impériale dans la personne de Louis Napoléon Bonaparte  avec hérédité dans sa descendence directe  légitime ou adoptive  et lui donne le droit de régler l'ordre de succession au thrône dans la famille Bonaparte  ainsi qu'il est prevu par le sénatus-consulte du 7 novembre 1852." ,"State organisation | Political system | Constitution",79.78,8077334,96.87,3.13,yes,
2668,Country,France (1848-1852),fr011851,1851-12-21,Further presidential term of Louis-Napoleon Bonaparte,Louis-Napoleon Bonaparte weiter als Präsident,,,,,,,,,,Not known,,8165630,,,7481231,647292,,,none,,,,,,Presidential Plebiscite  ad hoc,,,, In 1848 Louis-Napoléon Bonaparte was elected President of the new Republic. As the electoral law of 31 May 1850 introduced a three-year residency obligation   the number of persons entitled to vote sank from 9 to 6 million. Because a re-election of the president was prohibited  the latter revolted on 2 December 1851 and dissolved the parliament and the government. For the plebiscite he announced contemporaneously  he again permitted the general voting right. A thereto established commission elaborated a new constitution which entered into force together with the promulgation of the voting results on 14 January 1852. The number of enfranchised people cannot be established exactly  as the relevant protocols are partially incomplete. Ballot question:  'Le Peuple Français veut le maintien de Louis-Napoléon Bonaparte et lui délègue les pouvoirs nécessaires pour faire une constitution sur les bases proposées dans sa Proclamation du 2 décembre 1851.'       Main issues:       Bonaparte becomes President for ten years     Presidential plebiscite (art. 5)     President alone is entitled to launching of legislative initiatives      President appoints government     Council of the state prepares legislation     First chamber elected by general suffrage     Second chamber elected by regions  ,"State organisation | Institutions | Government, administration",0,8128523,92.04,7.96,yes,
2669,Country,Liberia,lr011849,1849-05-01,More representatives for Sinoe,,,,,,,,,,,Not known,Not known,Not known,,Not known,Not known,Not known,,,none,,,,,,Mandatory Constitutional Referendum,,,,In order to do justice to the population size of Sinoe  it ought to have been represented by three instead of only one representative. Mandatory constitutional referendum according to Chapter V article 17 of the Constitution. The vote was held together with the general elections. Votes were cast by writing either 'adoption' or 'no adoption' on the ballot papers.      Chapter II article 2 sentence 1:   "The representatives shall be elected by  and for the inhabitants of the several counties of Liberia  and shall be apportioned among the several counties of Liberia as follows: The County of Montserrado shall have four representatives  the County of Grand Bassa shall have three  and the County of Sinoe shall have three instead of one; and all counties that shall hereafter be admitted in the Republic shall have one representative; and for every ten thousand inhabitants one representative shall be added."  The proposal was adopted with an unknown majority.,"State organisation | Institutions | Parliament",0,,0,0,yes,
2670,Country,Switzerland,1,1848-06-06,Total revision of 12 September 1848,Totalrevision vom 12. September 1848,Revision totale du 12 septembre 1848,,,,,,,,None,0,0,0,0,0,145584,54320,15.5,6.5,none,,,,,,Constitutional Referendum (Total Revision),,,,Das genaue Datum der Abstimmung ist unbekannt. Das Verfahren war nicht einheitlich. Nach heute geltender Ordnung (vgl. Art. 123 Abs. 3 BV) stimmten nur 14 Voll- und 2 Halbkantone ab. In Freiburg entschieden der Grosse Rat  in Graubünden die Komitialstimmen  in den Kantonen Uri  Ob- und Nidwalden  Glarus  Appenzell Ausserrhoden und Appenzell Innerrhoden die Landsgemeinde (vgl. BBl 1879 I 426f). Die Zahl der gültigen  der Ja- und Nein-Stimmen bezieht sich nur auf die 14 Ganz- und die 2 Halbkantone. The exact date of the vote is unknown. The procedure was not consistent. Only 14 full and 2 half cantons (in today's order of the Federation) voted. The Great Council decided in Fribourg  the 'Komitialstimmen' in Grisons and the rural communities in the cantons of Uri  Ob- and -Nidwalden  Glarus  Appenzell Ausserrhoden and Appenzell Innerrhoden. The total valid 'yes' and 'no' votes came only from the 14 full and 2 half cantons.,"Constitution | Intergovernmental relations | none",0,199904,72.83,27.17,yes,
2671,Country,Liberia,lr011847,1847-09-27,Constitution,,,,,,,,,,,,,,,,214,58,,,none,,,,,,Plebiscite  ad hoc,,,,The 11-person constituent assembly which was elected on 17 January 1847  was in session from 5-26 July 1847  and passed a new Constitution modelled on the US Constitution:      Presidential system (two year term  unlimited re-eligibility)     Bicameral parliament (House of Represenatives two year term  Senate four years)     Only coloureds can be naturalised     Only citizens can acquire land ownership     Only land owners have suffrage (exclusion of native population in the back countries)     Census suffrage for passive electoral rights     Mandatory constitutional referendum with 2/3 of votes cast (Chapter V Article 17)  Votes were cast on ballot papers where the voters wrote either 'yea' or 'nay'.,"State organisation | Political system | Constitution",0,272,78.68,21.32,yes,
2672,Country,Liberia,lr011846,1846-10-27,Independence,,,,,,,,,,,,,,,,52%,48%,,,none,,,,,,Presidential Plebiscite  ad hoc,,,,At the beginning of 1846  Governor Roberts stated that Liberia should declare independence. In a meeting of 15 July 1846 the Council decided that the Governor should hold a popular vote on this issue. Roberts scheduled the date of the vote and the result was announced on 9 November. Despite the small majority of 52%  the Council decided on 17 January to hold an election for a constituent assembly.,"State organisation | National identity | none",0,,52,48,yes,
2673,Country,Chile,cl011818,1818-10-23,Provisional constitution,,,,,,,,,,,Not known,Not known,Not known,,Not known,Not known,0,,,none,,,,,,Plebiscite  ad hoc,,,,After Bernardo O' Higgins' nomination as director supremo  he was assigned to draft a provisional constitution on 1 April 1818. A commission worked on this project from May to August on the basis of the Napoleonian Constitution with 141 articles.      Unlimited term for the Director Supremo     Director Supremo to nominate five members and five substitutes for the Senate     Senate may overturn the veto of the Director Supremo 3 times     Preamble to designate the composition of the first Senate     Director supremo to appoint all judges  governors  state agents and secretaries     Vote on census basis  profession or patriarch     Three provinces with governors     Civil rights undefined     Catholicism as only allowed religion  Eligible voters voted by subscripsiòn  i.e. they had the choice to sign in a book containing 'yes' votes or in another book containing 'no' votes. That way there were neither invalid nor blank votes. According to the available data the draft was approved by 100% of the voters. The Constitution only entered into force on 20 October 1822  and O'Higgins was dismissed in January 1823.,"State organisation | Political system | Constitution",0,,0,0,yes,
2674,Country,Chile,cl011817,1817-11-15,Declaration of independence,Ausrufung der Unabhängigkeit,,,,,,,,,,Not known,Not known,Not known,,,Not known,0,,,none,,,,,,Plebiscite  ad hoc,,,,After the Battle of Chacabuco on 12 February 1817  General O'Higgins was nominated 'Directòr Supremo' in Santiago de Chile. He scheduled a plebiscite for 15 November and after its' submission received a vast majority  he proclaimed the Independence of Chile on 12 February 1818. No plebiscite was held in the province Concepciòn. Eligible voters voted by subscripsiòn  i.e. they had the choice to sign in a book containing 'yes' votes or in another book containing 'no' votes. That way there were neither invalid nor blank votes.,"State organisation | National identity | none",0,,0,0,yes,
2675,Country,France (1814-1830),fr011815,1815-05-02,Additions to the Constitution,,,,,,,,,,,7500000,,1558682,,Not known,1552942,5740,,,none,,,,,,Presidential Plebiscite  ad hoc,,,,After his banishment to Elba  Napoleon returned to Cannes on 1 March 1815 and Paris on 20 March. On 22 April  he enacted an Acte additionel aux Constitutions de l Empire  adding 67 articles to the Constitution of the Year X and XII. A vote on the additions was ordered by decree for the next day. The new articles never entered into force as Napoleon was defeated in June. Only men over 21 years of age were eligible to vote. Voting was in a open register so as to make invalid votes impossible. The register was open for ten days.      Main points       Chambre des pairs appoints Napoleon for life     Chambre des Représentants  629 Members  is elected by a Collège     Chambre des Représentants appoints its own President with approval of the Emperor     Emperor may dissolve the Chambre des Représentants and a new election must be held within six months     Government alone has legislative intiative     Emperor appoints Judges for life     Right of vote for men over 21 years     Guarantee on personal  liberty and proprietary rights ,"State organisation | Political system | Constitution",20.78,1558682,99.63,0.37,yes,
2676,Country,Chile,cl011812,1812-10-27,Provisional constitution,,,,,,,,,,,Not known,Not known,Not known,Not known,,Not known,Not known,,,none,,,,,,Plebiscite  ad hoc,,,,After the 1810 Revolution  a provisional Junta was appointed. José Miguel Carrera appointed himself as Dictator on 2 December 1812 and ordered the creation of a provisional constitution.      Main issues:                Declaration of independence  but recognition of Ferdinand VII of Spain         Governmental office held by Junta Superior Guvernativa by a threesome  which act on behalf of Ferdinand         Government must not obey foreign (i.e. Spanish) commands         Senate with seven members         Roman Catholicism as only permitted religion (publicly and privately)         Recognition of private rights and freedoms       After battles against Spanish troups  who were called into the country by the Vice-King  Carrera was defeated and supplanted by Francisco de Lastra. Eligible voters voted by subscripsiòn  i.e. they had the choice to sign in a book containing 'yes' votes or in another book containing 'no' votes. That way there were neither invalid nor blank votes.,"State organisation | Political system | Constitution",0,,0,0,yes,
2677,Country,,it031805,1805-06-14,,Fürst von Piombino als Herrscher und weibliche Erbfolge,,,,,,,,,,Not known,,Not known,,,Not known,0,,,none,,,,,0,,,,,,"",0,Not known,100,0,yes,no
2678,Country,,it021805,1805-06-07,,Erlass einer neuen Verfassung durch Kaiser Napoleon,,,,,,,,,,Not known,,Not known,,,Not known,1,,,none,,,,,0,,,,,,"",0,Not known,0,100,no,
2679,Country,,it011805,1805-05-27,,Anschluss an Frankreich,,,,,,,,,,Not known,,Not known,,,Not known,1,,,none,,,,,0,,,,,,"",0,Not known,0,100,no,
2680,Country,Batavian Republic,nl011805,1805-04-16,Constitution,Verfassung,,,,,,,,,,353322,,353322,,,353186,136,,,none,,,,,,Presidential Plebiscite  ad hoc,,,,In November 1804 the state council decided that civil authorities must no longer obey to orders of the French troops. Pressured by the French  the Batavian state council enacted a new constitution  according to which the executive force was concentrated in one single person. On March 15  1805 the state council submitted its draft to parliament  which approved of it on March 20. On March 25  the state council enacted a decree scheduling the popular vote from April 9 to April 16 and prescribing that it is to be conducted by signature in the voting registers on the occasion of the town meetings. In this way empty nor invalid votes could be prevented. Domestic workers  persons dependent on social support or that are bankrupt etc. are not entitled to vote. As in 1801  persons not casting their vote were counted as proponents of the draft (yes votes). The state council proclaimed the final result of the vote on April 26 and elected Jan Schimmelpenninck as Raadpensionaris on April 29. However  the latter resigned already on June 4  1806 when Napoléon appointed his Brother Louis as King. A new constitution was enforced in July 1806  and corresponded more or less to the adopted one of 1805  but as Monarchy and without having been adopted by popular vote.      Main issues (87 articles):                Head of the state (Raadpensionaris) as only executive appointed for life         Parliament (Hun Hoog Mogenden) with 19 seats elected for 3 years         Palriament can only adopt or reject proposals of the government but not amend         Re-establishment of the 8 historical provinces         No voting right for domestic servants  persons dependent on social welfare and that are bankrupt etc.         No rules regarding constitutional revisions      ,"State organisation | Political system | Constitution",100,353322,99.96,0.04,yes,
2681,Country,France (1804-1814),fr011804,1804-05-18,Napoleon for Emperor,,,,,,,,,,,,,3574898,,,3572329,2569,,,none,,,,,,Plebiscite  ad hoc,,,,After a conspiracy the Tribunal decided on 13th Floral XII (3 May 1804) to offer the imperial title to Napoleon and therefore submitted an according motion to the Senate. After Napoleon accepted  the Senate adopted a constitution with 142 articles by decision (sénatus-consulte) on 25th Floreal (18 May):      Napoleon Bonaparte to reign as 'Empereur des Français' in a hereditary monarchy     The Senate has the right to veto  which can be ignored by the Emperor after consultation with the National Council     Tribunal and Corps législatif can bring ministers  officials and officers before the national court (Haute-Cour)      The Corps législatif may only debate on legal acts with the government's approval       Ballot question:   'Le peuple veut l'hérédité de la dignité imperiale dans la descendance directe  naturelle  légitime et adoptive de Napoléon Bonaparte  et dans la descendance directe  naturelle et légitime de Joseph Bonaparte et de Louis Bonaparte  ainsi qu'il est réglé par le sénatus-consulte organique de ce jour [28. Floreal XII].'  Votes were cast by inscription into open registers so that empty and invalid votes were avoided.,"State organisation | Institutions | Government, administration",0,3574898,99.93,0.07,yes,
